reseau;station;trafic;corr_1;corr_2;corr_3;corr_4;corr_5;ville ;arrdt
METRO;LE KREMLIN-BICETRE;4062243;7;;;;;KREMLIN-BICÊTRE;
METRO;PLACE MONGE;2828772;7;;;;;PARIS;6
METRO;PORTE DE CHAMPERRET;3189251;3;;;;;PARIS;17
METRO;CROIX DE CHAVAUX;4954717;9;;;;;MONTREUIL;
METRO;MAUBERT-MUTUALITE;2226690;10;;;;;PARIS;5
METRO;JULES JOFFRIN;4034229;12;;;;;PARIS;18
METRO;IENA;2646049;9;;;;;PARIS;16
METRO;ARGENTINE;3026210;1;;;;;PARIS;17
METRO;PERE LACHAISE;4724592;2;3;;;;PARIS;20
METRO;GONCOURT;2192190;11;;;;;PARIS;11
METRO;SAINT-DENIS-PORTE DE PARIS;4032072;13;;;;;SAINT DENIS;
METRO;TUILERIES;2614837;1;;;;;PARIS;1
METRO;RUE DE LA POMPE;3004505;9;;;;;PARIS;16
METRO;CHARLES MICHELS;4601730;10;;;;;PARIS;15
METRO;SAINT-MARCEL;2131369;5;;;;;PARIS;13
METRO;ARTS ET METIERS;4011632;3;11;;;;PARIS;3
METRO;WAGRAM;2386255;3;;;;;PARIS;17
METRO;LOUVRE;2633369;1;;;;;PARIS;1
METRO;ECOLE MILITAIRE;4468169;8;;;;;PARIS;7
METRO;BUZENVAL;1941769;9;;;;;PARIS;20
METRO;CHAMPS-ELYSEES-CLEMENCEAU;4006171;1;13;;;;PARIS;8
METRO;SIMPLON;2366858;4;;;;;PARIS;18
